,Date,Stocks,Headlines,Description
0,2023-11-02 11:31:55,axis-bank-AXBK,Stock markets rebound after two days of fall amid global rally,"IndusInd Bank, Tata Steel, Tata Motors, Sun Pharma, Infosys, Mahindra & Mahindra, Infosys, NTPC, Bharti Airtel, HCL Technologies and Axis Bank were the biggest gainers."
2,2023-10-31 11:18:09,axis-bank-AXBK,Markets snap two-day gain; settle lower,"Equity indices end lower on Oct 31 due to foreign fund outflows, Middle East tensions and US Fed rate decision; Sensex down 237.72 pts & Nifty 61.30 pts; Major laggards: M&M, Airtel, ICICI Bank, IndusInd Bank, RIL, Axis Bank & HDFC Bank; Major gainers: Titan, Kotak Mahindra Bank, Asian Paints, HCL Tech, Tech Mahindra, NTPC, Nestle and Power Grid; Asian markets mixed, European markets in green and US markets higher"
3,2023-10-30 04:55:30,axis-bank-AXBK,"Sensex, Nifty fall in early trade on continuous foreign fund outflows, sluggish trend in global markets","Equity indices fall in early trade; Sensex down 179 points. Major laggards: Tata Motors, M&M, Maruti, Power Grid, Bajaj Finance, L&T, Titan, Axis Bank. Gainers: RIL, Tech Mahindra, UltraTech Cement, TCS."
4,2023-10-27 12:24:10,axis-bank-AXBK,"Stock Market Today: Sensex, Nifty Snap Six-Day Losing Streak; RIL, Axis Bank, Infosys Lead","India's benchmark stock indices advanced over 1% on Friday after declining for six consecutive day following geopolitical uncertainties stemming from the Israel-Hamas war and resultant rise in crude prices, coupled with higher-for-longer U.S. rates. "
5,2023-10-27 11:26:40,axis-bank-AXBK,"Sensex, Nifty rebound over 1% after six sessions of losses","Sensex and Nifty rebound 1% on value buying & better-than-expected Q2 results. Sensex rise 634.65 points & Nifty 202.45 points. Axis Bank, HCL Tech, SBI, NTPC, Tata Motors, Nestle India, and Infosys gained"
6,2023-10-26 11:37:29,axis-bank-AXBK,"Axis Bank Q2 Profit Rises 10% YoY, Beats Estimates; Should You Buy, Sell Or Hold? - News18",Axis Bank's asset quality improved further during the quarter under review; Should you buy Axis Bank shares?
9,2023-10-26 08:43:02,axis-bank-AXBK,"Stocks to Watch: Asian Paints, Axis Bank, Voda Idea, Tech Mahindra, ACC, and Others - News18","Stocks to watch: Shares of firms like Asian Paints, Axis Bank, Voda Idea, Tech Mahindra, ACC, and others will be in focus on Thursday's trade."
10,2023-10-26 02:44:14,axis-bank-AXBK,Axis Bank Q2 Results Review - Deposit Mobilsation Remains Key Focal Point: Systematix,"Axis Bank Ltd. reported Q2 FY24 earnings of Rs 58.6 billion (+10% YoY, +1% QoQ), which was in-line with expectations of Rs 57.8 billion. While net interest income was in-line, lower other income was offset by lower provisions. We introduce FY26 estimates, rollover forecasts to December 2025 and maintain our 'Buy' rating with Dec-24 target price of Rs 1,125 (versus 1,120).

We value Axis Bank at 1.85 times Dec-25 adjusted book value per share. While we continue to expect higher slippage ratio and credit costs over the forecast period,  "
11,2023-10-25 16:40:52,axis-bank-AXBK,"Axis Bank Q2 Net Profit Rises 10% To Rs 5,863 Cr - News18","Shares of Axis Bank closed at Rs 955.35 on Wednesday, down 0.84 per cent over previous close on the BSE."
12,2023-10-25 13:34:28,axis-bank-AXBK,Axis Bank Q2 Results: Profit Rises 10%,"Axis Bank Ltd.'s profit rose 10% year-on-year in the July-September quarter on higher core income, in line with analysts' estimates. However, higher provisions during the quarter affected net profit.

The private sector lender's net profit rose to Rs 5,864 crore, as compared with Rs 5,330 crore a year ago, according to an exchange filing. Analysts polled by Bloomberg estimated a net profit of Rs 5,754 crore for the second quarter. "
15,2023-10-25 08:48:01,axis-bank-AXBK,"Stocks to Watch: Axis Bank, Tech M, Vedanta, Delta Corp, ONGC, Torrent Pharma, and Others - News18","Stocks to watch: Shares of firms like Axis Bank, Tech M, Vedanta, Delta Corp, ONGC, Torrent Pharma, and others will be in focus on Wednesday's trade."
16,2023-10-23 15:40:08,axis-bank-AXBK,"Axis Bank, Tech Mahindra, Indus Towers Q2 Results Today — Earnings Estimates","According to the average of analysts' estimates calculated by Bloomberg, Axis Bank could report a net profit of Rs 5,754.4 crore in the quarter under review."
17,2023-10-22 12:13:38,axis-bank-AXBK,"Q2 Results 2023 this week: RIL, Axis Bank, TechM, Maruti Suzuki India, BPCL, and more","Q2 results 2023 news: Apart from the Dussehra stock market holiday, widely tracked companies such as Reliance Industries and Maruti Suzuki will declare their earnings this week. "
