Date,Headlines,Description,labels,scores
2023-10-31 11:18:09,Markets snap two-day gain; settle lower,"Equity indices end lower on Oct 31 due to foreign fund outflows, Middle East tensions and US Fed rate decision; Sensex down 237.72 pts & Nifty 61.30 pts; Major laggards: M&M, Airtel, ICICI Bank, IndusInd Bank, RIL, Axis Bank & HDFC Bank; Major gainers: Titan, Kotak Mahindra Bank, Asian Paints, HCL Tech, Tech Mahindra, NTPC, Nestle and Power Grid; Asian markets mixed, European markets in green and US markets higher",negative,0.9676675200462341
2023-10-31 16:35:43,"HDFC Bank Tweaks Airport Perks For Regalia Credit Cards Users, Changes Lounge Access Rules - News18",Users will receive only two free lounge access vouchers as part of a quarterly milestone benefit.,neutral,0.8792613744735718
2023-10-31 15:50:24,"Stock Market Today: Sensex, Nifty Resume Decline After Two-Day Gain As RIL, HDFC Bank, ICICI Bank Drag","Indian stock benchmarks declined after opening higher on Tuesday and snapped two-days of gains, as investors are now looking forward to the key interest rate decision of the US Federal Reserve a day later.",negative,0.9696953892707825
2023-10-30 15:41:29,"Market Closing: Sensex Ends 330 pts Higher, Nifty Near 19,150; ICICI, HDFC Bank Up 1% - News18","Sensex Today: Indian equity market started Monday's trading session on a cautious note, amid weak cues from Asian peers.",negative,0.9487115144729614
2023-10-30 12:34:29,"Stock Market Today: Sensex, Nifty Extend Gains After Volatile Day Of Trade As RIL, HDFC Bank, ICICI Bank Lead",Catch all the stock market updates here.,neutral,0.9356628060340881
2023-10-26 13:14:01,"Stock Market Today: Sensex, Nifty Register Longest Losing Streak In Seven Months As HDFC Bank, RIL Drag","The S&P BSE Sensex closed down 900 points, or 1.41%, at 63,148.15, while the NSE Nifty 50 was 265 points or 1.39% lower at 18,857.25.",negative,0.9710751175880432
2023-10-26 11:30:33,"Sensex tumbles 900 points amid broad-based selloff; slips below 64,000","Sensex plunges 900 points, slips below 64,000; Nifty down 1.39%. Selloff across sectors, FIIs offload ₹4,236.60 crore. M&M, Bajaj Finserv, Asian Paints, Nestle, JSW Steel, Titan, HDFC Bank, Tech Mahindra, Tata Motors, L&T worst hit",negative,0.9646021127700806
2023-10-23 12:20:11,"Stock Market Today: Sensex Closes at Three-Month Low, Nifty Below 19,300 As RIL, HDFC Bank, TCS Drag","The S&P BSE Sensex closed down 826 points, or 1.26%, at 64,571.88, while the NSE Nifty 50 was 261 points or 1.34% lower at 19,281.75.",negative,0.9701410531997681
2023-10-22 12:10:19,Mcap of Top-10 Valued Firms Plunges Rs 1.52 Lakh Crore - News18,"In the ranking of top 10 firms, Reliance Industries retained the title of the most valued firm followed by TCS, HDFC Bank, ICICI Bank, Infosys, Hindustan Unilever, ITC, Bharti Airtel, State Bank of India and Bajaj Finance",neutral,0.6285850405693054
2023-10-22 10:16:16,HDFC Bank Vs PNB Vs SBI: Check Detailed FD Interest Rate Comparison - News18,"HDFC Bank Vs PNB Vs SBI: Check Detailed FD Interest Rate Comparison; HDFC Bank is offering up to 7.75 per cent interest rates on FD, depending upon deposit tenure and depositor’s age; PNB is offering FD rates up to 7.75 per cent, SBI is giving up to 7.50 per cent a year",neutral,0.9212616682052612
2023-10-18 13:24:22,"Stock Market Today: Sensex, Nifty Log Worst Session In Two Weeks As HDFC Bank, RIL, ICICI Bank Drag","The S&P BSE Sensex closed down 551 points, or 0.83%, at 65,877.02, while the NSE Nifty 50 was 149 points or 0.71% lower at 19,671.10.",negative,0.9702741503715515
2023-10-18 10:34:42,"Sensex, Nifty Fell The Most In Two Weeks As HDFC Bank, Reliance Drag: Market Wrap","India's benchmark stock indices fell the most in two weeks on Wednesday, led by losses in HDFC Bank Ltd., ICICI Bank Ltd., and Reliance Industries Ltd.

Nifty ended below the 19,700 level, while Sensex closed under 65,900, the lowest levels since Oct. 9. On a single-day basis, the indices dropped the most since Sept. 28, 2023. Banks and non-banking financial companies fell, whereas the pharma and auto sectors advanced.",negative,0.9738211035728455
2023-10-17 10:16:03,HDFC Bank Q2 Results Review- NIM Declines As Guided Earlier; Lower Credit Costs Aid Profitability: Nirmal Bang,"HDFC Bank Q2FY24 results were better than our expectations, with net interest income/pre-provision operating profit/profit after tax coming in at a variation of 0.8%/-1.2%/8.4% versus our estimates. 

Based on a like-to-like comparison, the bank’s loan growth stood strong at 17.6% YoY. Deposit growth also was robust at 18.2% YoY. As expected, due to the impact of incremental cash reserve ratio and excess liquidity at the time of merger, NIM declined to 3.6% (interest earning assets) as against the bank’s guidance of 3.7- 3.8% NIM post-merger.  ",negative,0.9681917428970337
2023-10-17 13:09:28,"Stock Market Today: Sensex, Nifty Snap Three Days Of Losses As HDFC Bank, RIL Lead; FPIs Turn Net Buyers","The S&P BSE Sensex closed up 261 points, or 0.39%, at 66,428.09, while the NSE Nifty 50 was 80 points or 0.40% higher at 19,811.50.",positive,0.9012470245361328
2023-10-17 11:00:38,Markets rebound after three days of fall on optimism in global equities,"Equity indices bounce back on Tuesday after three days of fall; HDFC Bank up 1% post Q2 earnings. BSE Sensex up 261 points to 66,428.09; Nifty up 79.75 points to 19,811.50",positive,0.932977020740509
2023-10-17 10:44:47,"Sensex, Nifty Snap Three-Day Loss To End Higher Led By HDFC Bank, Reliance: Market Wrap","India's benchmark stock indices snapped a three-day loss to close higher on Tuesday, led by gains in index heavyweights Reliance Industries Ltd. and HDFC Bank Ltd.

The Nifty closed above 19,800, while the Sensex ended over 66,400. Banks and non-banking financial institutions advanced while the realty sector was under pressure. ",negative,0.4910719692707062
2023-10-17 08:54:00,"Stocks to Watch: HDFC Bank, Grasim, JFS, SpiceJet, Delta Corp, Tata Elxsi, and Others - News18","Stocks to watch: Shares of firms like HDFC Bank, Grasim, JFS, SpiceJet, Delta Corp, Tata Elxsi, and others will be in focus on Tuesday's trade.",neutral,0.9157741069793701
2023-10-17 06:44:28,"HDFC Bank Q2 Review - PAT Beat, NIM Disappoints; Building In Only A Gradual Rise In NIM: ICICI Securities","Despite higher-than-estimated profit after tax at Rs 159.8 billion (4% beat), HDFC Bank Ltd.’s Q2 FY24 results were a tad softer, as net interest margin (at 3.4% of total assets) was weaker-than-expected (net interest income miss at ~6%). 

 
We value the stock at ~2.5 times FY25E ABV and thus arrive at our target price of Rs 1,750. 

We now rate the stock as 'Add' (versus 'Buy' earlier). 

Key risks would be slower-than-estimated loan growth as well as NIM.",negative,0.9437525868415833
2023-10-17 04:52:08,HDFC Bank Q2 Results Review - Close To The Bottom: Systematix,"HDFC Bank Ltd. reported earnings of Rs 159 billion (51% YoY, 34% QoQ), above our and consensus estimate of Rs 141 billion, led by lower provisions and higher other income. 

With respect to the merged HDFC Bank plus Housing Development Finance Corporation Ltd., the key highlights for the quarter were:

advances growth of 5% QoQ with the decline in eHDFC’s non-individual portfolio expected to have stabilised,

 

While reported net interest margin (as % of assets) declined 70 bp QoQ to 3.4%, the core NIM ",negative,0.8843591213226318
2023-10-17 04:31:30,HDFC Bank Q2 Results Review: High Liquidity To Keep Net Interest Margin Soft,"The excess liquidity in HDFC Bank Ltd. after the merger with Housing Development Finance Corp. is likely to keep its net interest margin lower, according to analysts. 

While the bank management has spoken of a 25-basis-point impact on the margins, Nomura Global Markets Research expects a recovery of about 13 basis points over a period of time. ""On the other hand, the NIM drag from the I-CRR requirement is transient and should disappear in ensuing quarters,"" it said.",negative,0.9183799028396606
2023-10-17 04:33:27,HDFC Bank Q2 Results Review - Margin Trajectory To Improve: Prabhudas Lilladher,"HDFC Bank Ltd. saw good quarter; net interest margin was 4 basis points higher to our estimate at 3.66% and core pre-provision operating profit was a 2.9% beat owing to better fees. 
 
With core return on asset of 1.74% and likely core profit after tax compound annual growth rate of ~19% over FY24-26E, HDFC Bank  remains our preferred pick among large-caps. 

We maintain multiple at 2.8 times on Sep-25E core adjusted book value and target price at Rs 2,025. Retain ‘Buy’.",positive,0.8387422561645508
2023-10-16 16:48:46,"HDFC Bank Q2 Results On October 16: Net Profit To Jump, Margins Likely To Take A Hit - News18","HDFC Bank is expected to register a 39.4 per cent year-on-year (YoY) jump in its net profit to Rs 14,780 crore, according to average of five brokers' estimates; HDFC Q2 Results On October 16: Net Profit To Jump, Margins Likely To Take A Hit",positive,0.9460733532905579
2023-10-16 16:47:38,"HDFC Bank Q2 Results: Net Profit Jumps 50% To Rs 15,976 Crore, Check Details - News18","HDFC Bank Q2 Results: Explore the details of HDFC Bank's Q2 results, revealing a significant 50% jump in net profit to Rs 15,976 crores. Stay informed about the key details at news18.com",positive,0.5533552169799805
