Index,Date,Ticker,Headline,Description,labels,scores
1,2024-10-21 16:21:25,kotak-mahindra-bank-KTKM,Nifty October futures trade at discount,"The Nifty October 2024 futures closed at 24,757, a discount of 24.1 points compared with the Nifty's closing of 24,781.10 in the cash market. In the cash market, the Nifty 50 experienced slight downward movement.",negative,0.9063557386398315
2,2024-10-25 18:36:27,kotak-mahindra-bank-KTKM,Kotak Mahindra Bank tumbles after provision rise 83% YoY to Rs 660 crore in Q2,"The private sector bank had announced its second-quarter financial results on Saturday, 21 October 2024. The bank's standalone net profit rose by 4.78% to Rs 3,343.72 crore. However, the bank also reported an 83% year-on-year increase in provisions to Rs 660 crore, which led to investor concerns and a dip in stock prices.",negative,0.7483178377151489
3,2024-10-21 09:53:31,kotak-mahindra-bank-KTKM,Kotak Mahindra Bank consolidated net profit rises 13.07% in the September 2024 quarter,"Net profit of Kotak Mahindra Bank rose 13.07% to Rs 5,044.05 crore in the quarter ended September 2024, as compared to Rs 4,461.04 crore in the previous quarter. This growth was primarily driven by higher net interest income and robust performance across business segments.",positive,0.9582446813583374
4,2024-10-23 10:23:12,kotak-mahindra-bank-KTKM,Kotak Mahindra Bank to acquire personal loan book of Standard Chartered Bank India,"Kotak Mahindra Bank has entered into a definitive agreement with Standard Chartered Bank, India for the acquisition of its personal loan book, which includes a total loan outstanding of approximately Rs 5,000 crore. This strategic move will enhance Kotak's retail lending portfolio and expand its footprint in the personal loan segment.",positive,0.9415566921234131
5,2024-10-18 06:48:04,kotak-mahindra-bank-KTKM,Kotak Mahindra Bank Ltd spurts 1.46%,"Kotak Mahindra Bank Ltd saw a 1.46% increase in its stock price, marking a third consecutive session of growth. The stock is currently quoted at Rs 1,909.80, as of 12:49 IST on the NSE, outperforming the broader market benchmarks and showing strong investor confidence.",positive,0.9529209733009338
6,2024-10-08 18:46:27,kotak-mahindra-bank-KTKM,Kotak Mahindra Bank to hold board meeting,"Kotak Mahindra Bank will hold a meeting of its Board of Directors on 19 October 2024 to discuss various corporate matters, including potential strategic initiatives and business updates. The bank has not disclosed any specific agenda for the meeting at this time.",neutral,0.9515467882156372
7,2024-10-14 19:50:15,kotak-mahindra-bank-KTKM,Kotak Mahindra Bank Ltd up for third straight session,"Kotak Mahindra Bank Ltd gained for the third straight session today. The stock price rose by 1.18%, reaching Rs 1,926.95 as of 12:49 IST on the NSE. The consistent upward movement reflects positive market sentiment and growing investor confidence.",positive,0.9523593783378601
8,2024-10-12 19:28:32,kotak-mahindra-bank-KTKM,Kotak Mahindra Bank announces cessation of director,"Kotak Mahindra Bank announced the cessation of Uday Khanna as Independent Director of the company, effective 05 September 2024. This decision was part of the bank’s ongoing efforts to optimize its corporate governance structure and management composition.",neutral,0.9317222237586975
9,2024-09-27 14:46:05,kotak-mahindra-bank-KTKM,Kotak Mahindra Bank Ltd gains for third straight session,"Kotak Mahindra Bank Ltd gained for a third straight session today. The stock is quoted at Rs 1,804.95, up 1.32% as of 12:49 IST on the NSE. The gains reflect the positive market response following strong quarterly results and investor confidence in the bank's growth trajectory.",positive,0.9554215669631958
10,2024-08-27 08:36:03,kotak-mahindra-bank-KTKM,Kotak Mahindra Bank announces cessation of Head - Consumer Bank,"Kotak Mahindra Bank announced that Virat Diwanji will cease to be the Group President and Head of the Consumer Bank as well as a member of the Group Management Committee, effective immediately. This move is part of the bank’s restructuring efforts to streamline its leadership team.",neutral,0.8601177334785461
11,2024-08-27 17:26:55,kotak-mahindra-bank-KTKM,Kotak Mahindra Bank Q1 PAT zooms 81% YoY to Rs 6250 crore,"Kotak Mahindra Bank reported a 81% year-on-year increase in its Profit After Tax (PAT) for Q1 FY25, rising to Rs 6,250 crore. The PAT was boosted by exceptional gains, including a divestment of the bank's stake in Kotak General Insurance. Excluding these gains, the underlying PAT stood at Rs 3,520 crore.",positive,0.9532701969146729
12,2024-08-27 05:49:47,kotak-mahindra-bank-KTKM,Kotak Mahindra Bank consolidated net profit rises 79.47% in the June 2024 quarter,"Net profit of Kotak Mahindra Bank rose 79.47% to Rs 7,448.16 crore in the quarter ended June 2024, compared to Rs 4,150.19 crore during the previous quarter. The growth was driven by strong performance in core banking operations, including higher net interest income and loan growth.",positive,0.9579358696937561
13,2024-08-06 07:04:18,kotak-mahindra-bank-KTKM,Kotak Mahindra Bank standalone net profit rises 81.03% in the June 2024 quarter,"Net profit of Kotak Mahindra Bank rose 81.03% to Rs 6,249.82 crore in the quarter ended June 2024, compared to Rs 3,452.30 crore in the previous quarter. The significant rise in profit was driven by a sharp increase in net interest income and a reduction in provisions.",positive,0.9378684759140015
