Date,Headlines,Description,labels,scores
2023-10-31 11:18:09,Markets snap two-day gain; settle lower,"Equity indices end lower on Oct 31 due to foreign fund outflows, Middle East tensions and US Fed rate decision; Sensex down 237.72 pts & Nifty 61.30 pts; Major laggards: M&M, Airtel, ICICI Bank, IndusInd Bank, RIL, Axis Bank & HDFC Bank; Major gainers: Titan, Kotak Mahindra Bank, Asian Paints, HCL Tech, Tech Mahindra, NTPC, Nestle and Power Grid; Asian markets mixed, European markets in green and US markets higher",negative,0.9676675200462341
2023-10-30 11:45:02,Ed Sheeran’s upcoming concert buoys Kotak Bank’s credit card applications: Report,"Ed Sheeran concert in Mumbai: Ticket sales for the show in general went live starting October 27 at 3 pm IST on BookMyShow and Ed Sheeran's official website.
",neutral,0.9387915134429932
2023-10-27 07:47:57,Kotak Mahindra Bank’s Dipak Gupta Gets RBI Nod For Tenure Extension,"The Reserve Bank of India has approved the extension of appointment of Dipak Gupta as interim managing director and chief executive officer of Kotak Mahindra Bank Ltd. till Dec. 31.

In its quarterly earnings on Oct. 2, the private bank had announced that Ashok Vaswani will take charge as the new MD and CEO, latest by January 2024, , as per an exchange filing. As per the last appointment notice, Gupta's term was to end on Nov. 1.

Gupta will continue to serve as the head of the bank till Vaswani assumes charge, the notification said.",neutral,0.9463782906532288
2023-10-26 02:07:57,Kotak’s New Outsider CEO Seen As Break From Billionaire Founder,"India’s central bank backed an outsider with little experience in the country to lead Kotak Mahindra Bank Ltd., surprising analysts and senior management and sending its stock falling.",negative,0.9630411267280579
2023-10-23 05:07:37,Kotak Mahindra Bank Q2 Results Review: Smooth Succession Of New CEO Will Be Crucial,"The appointment of Ashok Vaswani, an external candidate, as managing director and chief executive officer of Kotak Mahindra Bank Ltd. has raised concerns among investors about a potential change in the growth strategy of the bank, according to analysts.

""While a change in CEO was expected, an external candidate would raise questions on any potential changes in strategy, delays in major new initiatives (e.g., the IDBI deal), etc.,"" Bernstein Research said in a note.",negative,0.663076639175415
2023-10-23 04:46:34,"Kotak Mahindra Bank Q2 Results Review - Strong Quarter; MD, CEO Approved By RBI: Prabhudas Lilladher","Kotak Mahindra Bank is a solid banking franchise with strong balance sheet, prudent credit practices and attractive return on asset profile of 2.2-2.3% (ICICI Bank Ltd. 2.0%). However, over last two-three years, earnings quality of ICICI Bank has been superior with likely core return on equity at 17% (Kotak Mahindra Bank 14%). 

We trim multiple to 3.3 times (3.5 times earlier) but roll forward to September-25 core adjusted book value, maintaining SOTP based target price at Rs 2,250. Retain ‘Buy’.",positive,0.9118289947509766
2023-10-23 04:40:49,Kotak Mahindra Bank Q2 Results Review - Margin Under Pressure While Bank Gets New CEO: Yes Securities,"Total deposits were up 23% YoY driven by term deposits. Activmoney deposits are up 28%, with some retail savings account shifting to Activmoney deposits. 

The cost of Activmoney is still than that of term deposits with card rates for term deposits being seven-ish in the one-three year bucket. The current account and savings account ratio stood at 48.3%. Management alluded to further margin decline but not as sharp as that seen in Q2: Ashok Vaswani has been approved by the RBI as the new MD and CEO of Kotak Mahindra Bank: ",negative,0.514458179473877
2023-10-22 10:53:13,"Meet Ashok Vaswani, the corporate veteran who will succeed Uday Kotak at Kotak Mahindra Bank","Ashok Vaswani will succeed Uday Kotak, who has quit as the MD of the bank in September this year. ",neutral,0.7665590047836304
2023-10-21 15:21:35,Kotak Mahindra Bank To Apply For Extension Of Dipak Gupta’s Term,"Kotak Mahindra Bank Ltd. will apply to the Reserve Bank of India for extending the term of interim managing director and chief executive officer, Dipak Gupta.

The bank's management announced this in the post Q2 earnings analyst call on Saturday.",neutral,0.9162890315055847
2023-10-21 13:29:47,"Kotak Mahindra Bank Q2 results: Total income rise 36% to Rs 13,507.40 cr, PAT surges by 24%","Analysts at StoxBox Brokerage had predicted Kotak Mahindra Bank to report 24.2 per cent rise in profit at Rs 3,205 crore on 24.7 per cent rise in NII at Rs 6,358 crore. ",positive,0.937412679195404
2023-10-21 18:31:50,‘I am delighted’: Uday Kotak after RBI approves Ashok Vaswani as new CEO for Kotak Mahindra Bank,"This appointment comes in the wake of the departure of veteran banker and co-founder Uday Kotak, who stepped down from his position last month.",negative,0.5507646799087524
2023-10-21 16:20:45,"Kotak Mahindra Bank Q2 Net Profit Rises 24% To Rs 3,191 Cr - News18","Its total income during the July-September period grew to Rs 13,507 crore against Rs 9,925 crore in the year-ago quarter,",positive,0.9448164105415344
