Date,Headlines,Description,labels,scores
2023-11-04 10:54:18,Ambani’s Reliance Industries Considers Record $1.8 Billion Bond Sale,"Indian tycoon Mukesh Ambani’s Reliance Industries Ltd. is considering raising as much as 150 billion rupees ($1.8 billion) via the sale of local-currency bonds, according to people familiar with the matter who asked not to be identified because the matter is private.",neutral,0.9180482625961304
2023-10-31 09:17:55,"Mukesh Ambani receives death threat for third time, sender demands Rs 400 crore as ransom",Reliance Industries chairperson has been receiving death threats from a single e-mail address for the past 4 days,negative,0.9103783965110779
2023-10-31 05:01:28,Mukesh Ambani receives third threat email with ₹400 crore demand,"Mukesh Ambani, Chairman of Reliance Industries, Mumbai, has received a threat email demanding ₹400 crore. This is the third such email in four days. Police are investigating and have registered an FIR. Last year, a man from Bihar was arrested for making death threats to Ambani and his family.",negative,0.8789224624633789
2023-10-30 10:11:10,Jio World Plaza: Largest Luxury Mall Of India To Open On November 1 - News18,India is about to gain a new luxury shopping destination as Reliance Industries to unveil country’s largest luxury shopping venue,positive,0.8280975222587585
2023-10-30 04:34:14,Reliance Industries Q2 Review: Analysts See Steady Earnings Outlook In FY24,"Analysts see Reliance Industries Ltd.'s full-year outlook to be positive given the strong scaling of retail and telecom segments coupled with domestic demand pulling up the oil-to-chemicals segment.

“We retain our 'buy' on Reliance Industries on the back of a steady earnings outlook and the peaking-out of the current capex cycle, which should entail free cash flow generation and debt reduction,” said Sabri Hazarika, analyst with Emkay Global Financial Research, in a report.",positive,0.94953453540802
2023-10-30 03:46:57,Reliance Industries Q2 Results Review - Inline; Recent Correction Led To An Upgrade: Systematix,"Reliance Industries Ltd. reported healthy results during Q2 FY24 but largely in line with our estimates. Ebitda was up 31% YoY/8% QoQ to Rs 410 billion largely led by growth across segments while net profit increased 27% YoY/9% QoQ to Rs 174 billion. 

Upstream segment Ebitda improved 19% QoQ to Rs 163 billion (+50% YoY) followed by Retail at Rs 48 billion (13% QoQ) while oil-to-chemical and digital services were up 7% and 3% to Rs 163 billion and Rs 141 billion respectively. Ebitda from the upstream segment improved ",positive,0.9593619108200073
2023-10-30 03:34:01,"Reliance Industries, Ujjivan SFB, Aavas Financiers, Indian Hotels, Route Mobile, Q2 Review: HDFC Securities","Reliance Industries - Robust earnings from energy businessesUjjivan Small Finance Bank -  Customer franchise poised for an upgrade Indian Hotels - Continues to ride the strong demand wave Route Mobile - Deal wins improve growth visibilityHome First Finance Company
Strong performance; priced to perfectionAavas Financiers
Growth momentum key to regaining sector leadership",positive,0.9427405595779419
2023-10-30 03:17:59,"Stocks To Watch: Reliance Industries, BPCL, Adani Green, Bombay Dyeing, M&M Financial Services","India's benchmark stock indices advanced over 1% on Friday after declining for six consecutive days following geopolitical uncertainties stemming from the Israel-Hamas war and the resultant rise in crude prices, coupled with higher-for-longer U.S. rates.

The S&P BSE Sensex closed 634.65 points up, or 1.01%, at 63,789.80, while the NSE Nifty 50 ended 190 points, or 1.01%, higher at 19,047.25.

Intraday, the S&P BSE Sensex rose 1.21% to 63,913.13, and the NSE Nifty 50 gained 1.16% to 19,076.15.",positive,0.8824339509010315
2023-10-28 16:48:00,"Reliance Industries Q2 Results Review - Oil-To-Chemical, E&P, Retail Propel Earnings: Dolat Capital","Reliance Industries Ltd.’s Ebitda was up 31% YoY & 8% QoQ to Rs 410 billion (inline with estimates), led by strong operating performance across segment. Oil-to-chemical major driverminimal impact of export duties ($0.6/barreli of oil) to gross refining margin;
sequential improvement in GRM, PVC deltas, and ethane cracking economics favorable. RIL’s Ebitda was also boosted by exploration and production (sharp jump in KG gas production with higher price realisation).Profit after tax was up 27% YoY & 9% QoQ to Rs 174 billion (4% below estimates). ",positive,0.9598121047019958
2023-10-28 16:14:34,"Industrialist Mukesh Ambani gets death threat in email, Mumbai police launch manhunt","Reliance Industries chairman Mukesh Ambani has received an email threatening to shoot him dead if he failed to pay ₹20 crore, a Mumbai police official said ",negative,0.8821274042129517
2023-10-27 16:46:25,Reliance Industries Q2 Results: Profit Rises 8.6% In Line With Estimates,"Reliance Industries Ltd.'s second-quarter profit rose on higher sales and overall performance.

The Mukesh Ambani-led conglomerate’s consolidated net profit attributable to owners rose 8.63% sequentially to Rs 17,394 crore in the quarter ended September, according to its exchange filing. That compares with the Rs 17,850.9 crore consensus estimate of analysts tracked by Bloomberg.",positive,0.956659197807312
2023-10-27 12:33:45,"Isha, Akash and Anant Ambani Get Shareholders’ Nod for Appointment as RIL Non-Executive Directors - News18","The move is in line with gradually promoting Isha, Akash and Anant to head different businesses within the Reliance Industries",neutral,0.6285033822059631
2023-10-26 17:21:16,"Reliance Industries, Maruti Suzuki, Bajaj Finserv Q2 Results Today — Earnings Estimates","Reliance Industries Ltd. will announce its results for the quarter ended September on Friday. 

According to the average of analysts' estimates calculated by Bloomberg, Reliance Industries could report a net profit of Rs 17,850.9 crore and a revenue of Rs 2,23,433.6 crore in the quarter under review.",neutral,0.8364596366882324
