Index,Date,Ticker,Headline,Description,labels,scores
1,2024-11-05 17:30:29,state-bank-of-india-SBI,Nifty November futures trade at premium,"The Nifty November 2024 futures closed at 24,293.65, a premium of 80.35 points compared with the Nifty's closing of 24,213.30 in the cash market. The premium suggests an optimistic outlook among traders, indicating that market sentiment is positive despite some recent fluctuations. This could be driven by strong domestic economic indicators, investor confidence, and expectations of further economic stimulus measures.",positive,0.9458326697349548
2,2024-10-26 19:24:39,state-bank-of-india-SBI,State Bank of India to conduct board meeting,"State Bank of India will hold a meeting of the Board of Directors on 8 November 2024. The meeting will discuss strategic matters, including financial performance, regulatory updates, and any proposals regarding capital raising, dividend distribution, or other corporate actions. Investors are particularly attentive to such meetings as they may provide insights into future growth plans, and the stock could react positively or negatively depending on the discussions.",neutral,0.9213899970054626
3,2024-10-20 15:53:02,state-bank-of-india-SBI,CRISIL Ratings assigns 'AA+' rating to SBI's Tier-I bonds with 'stable' outlook,"CRISIL Ratings has assigned an 'AA+' rating with a stable outlook to State Bank of India's Tier-I bonds under Basel III regulations. The rating is indicative of SBI's strong credit profile and ability to meet financial obligations. This action reinforces SBI's stability in the banking sector and could lead to enhanced investor confidence, as well as potential positive market reactions to the stability and safety associated with the bonds.",positive,0.9357661008834839
4,2024-10-16 13:08:53,state-bank-of-india-SBI,State Bank of India receives ratings action from CRISIL,"CRISIL Ratings has assigned an 'AA+/Stable' rating to the Rs 5,000 crore Tier I Bonds under Basel III of State Bank of India and reaffirmed its 'CRISIL AAA/Stable' rating on other debt instruments. This reaffirmation signifies that SBI maintains a strong financial position in the eyes of the rating agency, which could help in bolstering investor confidence, potentially driving a positive stock movement, particularly in the context of debt issuance.",positive,0.9427805542945862
5,2024-10-07 18:29:37,state-bank-of-india-SBI,Nifty October futures trade at premium,"The Nifty October 2024 futures closed at 25,119.15, a premium of 137.20 points compared with the Nifty's closing of 24,981.95 in the cash market. The premium signals a positive outlook in the market, as futures typically reflect investor sentiment and expectations. The bullish sentiment can be attributed to strong economic fundamentals, favorable global market conditions, and rising corporate profits, leading investors to position themselves for potential gains in the near term.",positive,0.9497194886207581
6,2024-10-22 07:28:35,state-bank-of-india-SBI,State Bank of India receives affirmation in credit ratings from Moody's,"Moody's Investor Service has affirmed State Bank of India’s Baa3 long-term local and foreign currency bank deposit ratings. This affirmation underlines SBI’s stable creditworthiness and continued strong operational performance. With these ratings, SBI maintains investor confidence, which is crucial for its ability to raise funds from global markets. The stable outlook could lead to sustained investor interest in the stock and bonds of the company.",positive,0.9368896484375
7,2024-10-18 07:10:55,state-bank-of-india-SBI,"State Bank of India raises Rs 7,500 cr via Tier 2 bonds","State Bank of India has successfully raised Rs 7,500 crore through its Basel III-compliant Tier 2 bonds. The bonds are meant to enhance the bank's regulatory capital, boosting its financial strength. The funds raised will help SBI maintain its capital adequacy ratio, ensuring it can absorb future shocks and continue its lending activities. This issuance is a positive signal to investors, indicating that SBI is proactively managing its capital requirements.",positive,0.9442793726921082
8,2024-10-08 17:56:30,state-bank-of-india-SBI,"State Bank of India raises Rs 7,500 Basel III compliance Tier 2 bonds","State Bank of India (SBI) raised Rs 7,500 crore through the issuance of Basel III-compliant Tier 2 bonds at a coupon rate of 7.33%. The issuance is part of SBI’s strategy to strengthen its balance sheet and maintain financial stability. This move provides the bank with greater flexibility in terms of future lending and growth, which may enhance market sentiment toward the stock. Investors may view this positively as a step toward future growth and stability.",positive,0.9302716255187988
9,2024-10-28 17:30:47,state-bank-of-india-SBI,Bank SBI Indonesia inducts Bank KEB Hana as minority shareholder,"Bank SBI Indonesia (BSBII), the Indonesian subsidiary of State Bank of India, has inducted Bank KEB Hana as a minority shareholder. This move is part of SBI's strategy to enhance its international presence and capitalize on strategic partnerships. By bringing in a new partner, SBI could tap into new business opportunities and growth potential in Southeast Asia, which could lead to positive reactions from investors who see this as a step toward strengthening its global footprint.",positive,0.9359434247016907
10,2024-10-23 07:39:16,state-bank-of-india-SBI,State Bank of India receives ratings action from CRISIL,"State Bank of India has received a 'CRISIL AAA/Stable' rating for its Rs 7,500 crore Tier II Bonds under Basel III. This reaffirmation signals strong credit quality and is a positive indicator of SBI’s ability to manage its liabilities effectively. The action may boost investor sentiment as it reassures markets of the bank’s financial stability, potentially driving an uptick in its stock price.",positive,0.9507849216461182
11,2024-10-14 19:45:20,state-bank-of-india-SBI,Nifty September futures trade at premium,"The Nifty September 2024 futures closed at 24,993.30, a premium of 56.90 points compared with the Nifty's closing of 24,936.40 in the cash market. The premium suggests that traders remain bullish, expecting further market growth, driven by strong earnings reports and an optimistic macroeconomic outlook. The premium indicates that investors believe the market will continue to rise despite some short-term volatility.",positive,0.9487333297729492
12,2024-09-28 19:25:17,state-bank-of-india-SBI,Nifty September futures trade at premium,"The Nifty September 2024 futures closed at 24,909.40, a premium of 57.52 points compared with the Nifty's closing of 24,852.15 in the cash market. This premium indicates market optimism, suggesting that investors expect positive movements in the market driven by strong corporate earnings and favorable economic indicators. The expectation of further gains, particularly in the Indian banking and financial sectors, could influence sentiment in the near term.",positive,0.9514442682266235
13,2024-09-09 10:05:48,state-bank-of-india-SBI,State Bank of India announces change in nominee director,"State Bank of India announced the appointment of Nagaraju Maddirala as a nominee director on its board. This change is a result of the Government of India’s decision, which reflects the evolving leadership structure at SBI. The appointment may not directly affect the stock price but could signal a shift in the strategic direction of the bank, especially in relation to government policies and financial regulation.",neutral,0.8869102001190186
14,2024-09-02 15:53:59,state-bank-of-india-SBI,"State Bank of India raises Rs 7,500 cr via Basel III compliance Tier 2 bonds","State Bank of India raised Rs 7,500 crore via Basel III-compliant Tier 2 bonds, designed to strengthen its regulatory capital. This issuance helps improve SBI's capital adequacy ratio, ensuring it meets regulatory requirements and can continue lending at a healthy pace. The move is generally seen as a positive by investors, as it reflects the bank’s proactive capital management strategy.",positive,0.9499900937080383
15,2024-09-07 12:53:10,state-bank-of-india-SBI,Nifty August futures trade at premium,"The Nifty August 2024 futures closed at 24,404, a premium of 36.5 points compared with the Nifty's closing of 24,367.50 in the cash market. This premium indicates cautious optimism in the market, with investors expecting moderate growth, though they remain wary of potential headwinds such as rising inflation or global uncertainties.",positive,0.8626281023025513
16,2024-09-03 20:56:42,state-bank-of-india-SBI,SBI says Govt appoints Challa Sreenivasulu Setty as chairman,"The Government of India has appointed Challa Sreenivasulu Setty as the new Chairman of State Bank of India. This appointment, coming from the government, signals continued close ties between SBI and the government. The change in leadership could bring new strategies to the bank, potentially affecting its future direction and stock performance, as market sentiment reacts to the new leadership.",positive,0.47436439990997314
17,2024-08-23 12:29:53,state-bank-of-india-SBI,"SBI PAT grows YoY to Rs 17,035 crore in Q1 FY25","State Bank of India reported a year-on-year growth of 5% in Profit After Tax (PAT), reaching Rs 17,035 crore for Q1 FY25. This increase was driven by robust loan growth and improved asset quality. The positive performance reflects strong operational efficiency, a focus on cost management, and a solid retail banking segment. This news could be seen as positive by investors, potentially driving up the stock price.",positive,0.9546855688095093
18,2024-08-20 20:57:45,state-bank-of-india-SBI,State Bank of India consolidated net profit rises 4.25% in the June 2024 quarter,"State Bank of India reported a consolidated net profit growth of 4.25% for the June 2024 quarter, totaling Rs 19,324.96 crore. This growth was supported by an increase in income from interest and fees, as well as a reduction in non-performing assets (NPAs). The positive financials may boost investor confidence, potentially reflecting positively in the bank's stock price.",positive,0.9555982351303101
19,2024-08-20 13:59:33,state-bank-of-india-SBI,"State Bank of India Board approves bond issuance up to Rs 25,000 cr","The Board of State Bank of India approved the issuance of bonds up to Rs 25,000 crore in FY25. The capital raised will be used to meet regulatory capital requirements and fund future growth. The bond issuance can be seen as a positive signal, indicating SBI's plans for growth while maintaining a solid capital position.",positive,0.9265789985656738
20,2024-08-29 17:10:44,state-bank-of-india-SBI,Board of State Bank of India to seek approval for fund raising in FY25,"The Central Board of State Bank of India will meet on 3 August 2024 to seek approval for raising funds during FY25 through the issuance of Basel III-compliant capital instruments. This move signals the bank’s proactive steps to maintain strong capital reserves for future growth and stability. Investors may view this as a sign of solid future growth prospects, especially in the context of regulatory requirements.",positive,0.9353406429290771
